Outcome_M1,Outcome_M2,Outcome_M3,Outcome_M4,Outcome_M5,Outcome_M6,Outcome_M7,Outcome_M8,Outcome_M9,Outcome_M10,Outcome_M11,Outcome_M12,Cat_1,Date_1,Quan_1,Quan_2,Quan_3,Quan_4,Date_2,Quan_5,Quan_6,Quan_7,Quan_8,Quan_9,Quan_10,Quan_11,Quan_12,Quan_13,Quan_14,Cat_2,Cat_3,Cat_4,Cat_5,Cat_6,Cat_10,Cat_11,Cat_13,Cat_15,Quan_15,Cat_17,Cat_23,Quan_16,Quan_17,Quan_18,Cat_111,Cat_114,Cat_115,Cat_121,Cat_122,Cat_147,Cat_168,Cat_171,Cat_209,Cat_214,Cat_215,Cat_222,Cat_223,Cat_225,Cat_233,Cat_235,Cat_237,Cat_240,Cat_249,Cat_258,Cat_259,Cat_260,Cat_262,Cat_300,Cat_302,Cat_311,Cat_326,Cat_336,Cat_343,Cat_356,Cat_370,Cat_373,Cat_374,Quan_19,Quan_20,Quan_21,Cat_397,Cat_400,Cat_403,Cat_419,Cat_425,Cat_426,Cat_442,Cat_443,Cat_445,Cat_448,Cat_455,Cat_457,Quant_22,Cat_458,Quant_23,Quant_24,Cat_460,Quant_25,Cat_462,Cat_465,Cat_467,Cat_470,Cat_481,Cat_483,Cat_489,Cat_491,Cat_492,Cat_494,Cat_498,Quan_26,Quan_27,Quan_28,Quan_29,Quan_22,Cat_510,Cat_512
2000,500.0,500.0,500.0,500.0,2018.4397163120568,1751.4409221902017,1492.721979621543,1411.373707533235,1320.8841463414635,1190.6976744186047,1071.9874804381848,0,3570,2936200,5400.0,7.0,438942.60714285716,3090.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,1,1,0,1666.0,0,1,9.446952595936795,3.2570754716981134,11.085714285714285,1,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1,0,3.748663101604278,14.863636363636363,3.126126126126126,1,0,0,1,1,0,1,1,1,1,0,0,6.444444444444445,0,5.0,2.0,0,55.49201277955272,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,1,2093,1080000,4700.0,10.0,42767.0,2022.0,29.660649819494584,8.602888086642599,10.425992779783394,29.660649819494584,29.660649819494584,15.974729241877256,6.025270758122744,3.55956678700361,15.974729241877256,15.974729241877256,0,0,0,0,0,0,1,1,0,250.0,0,1,9.446952595936795,2.0,11.085714285714285,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.748663101604278,14.863636363636363,3.126126126126126,1,0,0,1,0,0,0,0,1,0,0,0,6.444444444444445,0,5.0,30.0,0,30.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,5000.0,6000.0,2000.0,2000.0,2018.4397163120568,1751.4409221902017,1492.721979621543,1411.373707533235,1320.8841463414635,1190.6976744186047,1071.9874804381848,0,3584,2936200,5600.0,28.0,29.0,3409.0,4.0,1.0,0.0,4.0,4.0,4.0,1.0,0.0,4.0,4.0,0,0,0,0,0,0,1,1,0,3508.0,0,1,8.0,2.0,11.085714285714285,1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,3.748663101604278,14.863636363636363,3.126126126126126,1,0,0,1,1,1,1,1,1,0,0,1,6.444444444444445,0,5.0,44.0,0,44.0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2000,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,1,1777,538300,4800.0,10.0,438942.60714285716,1528.0,29.660649819494584,8.602888086642599,10.425992779783394,29.660649819494584,29.660649819494584,15.974729241877256,6.025270758122744,3.55956678700361,15.974729241877256,15.974729241877256,0,0,0,0,0,0,1,1,0,136.0,1,1,16.0,3.2570754716981134,11.085714285714285,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6.0,14.863636363636363,7.0,1,0,0,1,1,0,1,1,1,0,0,1,6.444444444444445,0,5.0,6.0,0,6.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6000,10000.0,2000.0,2000.0,2000.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,1,1786,538300,5100.0,78.0,508995.0,365.0,29.660649819494584,8.602888086642599,10.425992779783394,29.660649819494584,29.660649819494584,15.974729241877256,6.025270758122744,3.55956678700361,15.974729241877256,15.974729241877256,0,0,0,0,0,0,1,1,0,144.0,0,1,9.446952595936795,3.2570754716981134,11.085714285714285,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,3.748663101604278,14.863636363636363,3.126126126126126,1,0,0,1,0,1,1,0,1,1,0,0,6.444444444444445,0,5.0,2.0,0,55.49201277955272,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3000,500.0,2000.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,1,2842,2657500,6900.0,71.0,17619.0,1367.0,29.660649819494584,8.602888086642599,10.425992779783394,29.660649819494584,29.660649819494584,15.974729241877256,6.025270758122744,3.55956678700361,15.974729241877256,15.974729241877256,0,0,0,1,1,0,1,1,0,9216.0,1,1,9.446952595936795,3.2570754716981134,11.085714285714285,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,3.748663101604278,14.863636363636363,3.126126126126126,0,1,0,1,1,1,1,1,0,1,0,0,6.444444444444445,0,5.0,7.0,0,55.49201277955272,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,3000.0,2000.0,2000.0,2000.0,2000.0,2000.0,500.0,2000.0,2000.0,500.0,500.0,0,3101,2054000,4300.0,53.0,1698.0,2899.0,4.0,2.0,0.0,4.0,4.0,3.0,1.0,0.0,3.0,3.0,0,0,0,0,0,0,0,1,0,5120.0,0,1,4.0,3.2570754716981134,11.085714285714285,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,3.748663101604278,14.863636363636363,3.126126126126126,1,1,1,1,0,0,1,0,1,0,0,0,6.444444444444445,0,5.0,52.80523255813954,0,3.0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
5000,2000.0,2000.0,2000.0,2000.0,2000.0,500.0,500.0,500.0,500.0,500.0,500.0,1,1758,456200,6500.0,54.0,37635.0,862.0,29.660649819494584,8.602888086642599,10.425992779783394,29.660649819494584,29.660649819494584,15.974729241877256,6.025270758122744,3.55956678700361,15.974729241877256,15.974729241877256,0,0,0,1,1,1,1,1,0,341.0,1,1,6.0,3.2570754716981134,11.085714285714285,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,3.748663101604278,14.863636363636363,3.126126126126126,1,1,1,1,1,1,1,1,1,1,0,1,12.0,0,12.0,8.0,0,8.0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
8000,2000.0,2000.0,2000.0,500.0,2000.0,3000.0,500.0,2000.0,2000.0,500.0,500.0,1,2352,1684000,6900.0,45.0,216645.0,2248.0,29.660649819494584,8.602888086642599,10.425992779783394,29.660649819494584,29.660649819494584,15.974729241877256,6.025270758122744,3.55956678700361,15.974729241877256,15.974729241877256,0,0,0,0,0,0,1,1,0,2048.0,1,1,14.0,3.2570754716981134,11.085714285714285,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,14.863636363636363,1.0,1,1,0,1,1,0,1,0,1,0,0,0,6.444444444444445,0,5.0,52.80523255813954,0,55.49201277955272,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19000,6000.0,3000.0,2000.0,2000.0,500.0,2000.0,500.0,500.0,2000.0,500.0,500.0,1,2177,1467500,7000.0,58.0,670326.0,2004.0,29.660649819494584,8.602888086642599,10.425992779783394,29.660649819494584,29.660649819494584,15.974729241877256,6.025270758122744,3.55956678700361,15.974729241877256,15.974729241877256,0,0,0,0,0,1,1,1,0,150.0,1,1,6.0,2.0,11.085714285714285,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.748663101604278,14.863636363636363,3.126126126126126,1,0,0,1,1,0,1,0,1,0,0,0,6.444444444444445,0,5.0,8.0,0,8.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
2000,2000.0,500.0,500.0,2000.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,0,2065,281900,6100.0,42.0,77366.0,1822.0,29.660649819494584,8.602888086642599,10.425992779783394,29.660649819494584,29.660649819494584,15.974729241877256,6.025270758122744,3.55956678700361,15.974729241877256,15.974729241877256,0,0,0,0,0,0,1,1,0,1485.0,0,0,9.446952595936795,2.0,11.085714285714285,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,3.748663101604278,14.863636363636363,3.126126126126126,1,0,0,1,1,0,1,1,1,1,0,1,6.444444444444445,0,5.0,33.0,0,33.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19000,6000.0,8000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,0,2478,918600,8800.0,99.0,332670.0,1697.0,29.660649819494584,8.602888086642599,10.425992779783394,29.660649819494584,29.660649819494584,15.974729241877256,6.025270758122744,3.55956678700361,15.974729241877256,15.974729241877256,0,0,0,0,0,0,0,1,0,600.0,0,1,9.446952595936795,3.2570754716981134,11.085714285714285,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,1,1,3.748663101604278,14.863636363636363,3.126126126126126,1,1,0,1,1,0,1,0,1,0,0,0,6.444444444444445,0,5.0,52.80523255813954,0,55.49201277955272,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
2000,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,0,2515,981000,7100.0,35.0,149470.0,1354.0,29.660649819494584,8.602888086642599,10.425992779783394,29.660649819494584,29.660649819494584,15.974729241877256,6.025270758122744,3.55956678700361,15.974729241877256,15.974729241877256,0,0,0,0,0,0,1,1,1,4608.0,0,1,9.446952595936795,3.2570754716981134,11.085714285714285,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,3.748663101604278,14.863636363636363,3.126126126126126,1,0,0,1,1,0,1,0,1,0,0,0,6.444444444444445,0,5.0,52.80523255813954,0,55.49201277955272,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23000,5000.0,2000.0,500.0,2000.0,500.0,3000.0,5000.0,500.0,2000.0,500.0,500.0,1,1949,890700,6400.0,96.0,746269.0,869.0,29.660649819494584,8.602888086642599,10.425992779783394,29.660649819494584,29.660649819494584,15.974729241877256,6.025270758122744,3.55956678700361,15.974729241877256,15.974729241877256,0,0,0,0,0,0,1,1,0,256.0,1,1,9.446952595936795,3.2570754716981134,11.085714285714285,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,3.748663101604278,14.863636363636363,3.126126126126126,1,1,0,1,1,0,1,0,1,0,0,0,6.444444444444445,0,5.0,52.80523255813954,0,55.49201277955272,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,2000.0,2000.0,500.0,500.0,2000.0,2000.0,2000.0,2000.0,1320.8841463414635,1190.6976744186047,1071.9874804381848,0,3465,2777700,7900.0,37.0,438942.60714285716,3388.0,5.0,0.0,0.0,5.0,5.0,3.0,0.0,0.0,3.0,3.0,0,0,0,0,0,0,1,1,0,512329.2310810811,0,1,8.0,2.0,11.085714285714285,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,3.748663101604278,14.863636363636363,3.126126126126126,1,1,0,1,1,1,1,1,1,0,0,0,6.444444444444445,0,5.0,39.0,0,39.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,500.0,500.0,500.0,500.0,500.0,2000.0,500.0,500.0,500.0,500.0,500.0,1,2492,1864300,4600.0,3.0,38595.0,2338.0,29.660649819494584,8.602888086642599,10.425992779783394,29.660649819494584,29.660649819494584,15.974729241877256,6.025270758122744,3.55956678700361,15.974729241877256,15.974729241877256,0,0,0,0,0,0,1,1,0,632.0,1,1,9.446952595936795,2.0,11.085714285714285,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6.0,14.863636363636363,3.126126126126126,1,0,0,1,1,0,1,1,1,0,0,1,6.444444444444445,0,5.0,6.0,0,6.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6000,2000.0,500.0,500.0,2000.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,0,2898,1797300,7300.0,85.0,438942.60714285716,1901.0,29.660649819494584,8.602888086642599,10.425992779783394,29.660649819494584,29.660649819494584,15.974729241877256,6.025270758122744,3.55956678700361,15.974729241877256,15.974729241877256,0,0,0,0,0,0,0,1,1,4194304.0,0,1,9.446952595936795,3.2570754716981134,11.085714285714285,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,3.748663101604278,14.863636363636363,3.126126126126126,1,1,0,1,1,0,1,0,1,1,0,0,6.444444444444445,0,5.0,52.80523255813954,0,55.49201277955272,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,500.0,500.0,2000.0,2000.0,2000.0,500.0,2000.0,2000.0,500.0,500.0,500.0,0,1918,206100,6400.0,29.0,438942.60714285716,1228.0,29.660649819494584,8.602888086642599,10.425992779783394,29.660649819494584,29.660649819494584,15.974729241877256,6.025270758122744,3.55956678700361,15.974729241877256,15.974729241877256,0,0,0,1,0,0,0,1,0,3584.0,0,0,2.0,3.2570754716981134,11.085714285714285,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,3.748663101604278,14.863636363636363,3.126126126126126,1,0,0,1,1,0,1,1,1,1,0,0,6.444444444444445,0,5.0,12.0,0,12.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,2000.0,3000.0,2000.0,2000.0,500.0,2000.0,500.0,500.0,500.0,500.0,500.0,0,2164,525000,6800.0,21.0,438942.60714285716,1962.0,29.660649819494584,8.602888086642599,10.425992779783394,29.660649819494584,29.660649819494584,15.974729241877256,6.025270758122744,3.55956678700361,15.974729241877256,15.974729241877256,0,0,0,0,0,0,0,0,0,512329.2310810811,0,1,9.446952595936795,4.0,11.085714285714285,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3.748663101604278,14.863636363636363,3.126126126126126,0,1,0,1,1,0,0,0,0,0,0,0,6.444444444444445,0,5.0,52.80523255813954,0,55.49201277955272,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2000,500.0,2000.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,1,2856,2657500,5700.0,13.0,13798.0,2716.0,29.660649819494584,8.602888086642599,10.425992779783394,29.660649819494584,29.660649819494584,15.974729241877256,6.025270758122744,3.55956678700361,15.974729241877256,15.974729241877256,0,0,0,0,0,1,1,1,1,6144.0,1,1,9.446952595936795,3.2570754716981134,11.085714285714285,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,7.0,14.863636363636363,3.126126126126126,1,0,0,1,1,0,1,0,1,0,0,0,6.444444444444445,0,5.0,52.80523255813954,0,55.49201277955272,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
5000,11000.0,3000.0,3000.0,3000.0,2000.0,2000.0,2000.0,500.0,500.0,2000.0,500.0,1,3241,3792300,7600.0,55.0,438942.60714285716,2925.0,14.0,5.0,8.0,14.0,14.0,7.0,1.0,3.0,7.0,7.0,0,0,0,0,0,0,1,1,0,356.0,1,1,4.0,4.0,11.085714285714285,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.748663101604278,14.863636363636363,1.0,0,0,0,1,1,0,1,1,0,0,0,0,6.444444444444445,0,5.0,52.80523255813954,0,55.49201277955272,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19000,5000.0,5000.0,19000.0,6000.0,6000.0,5000.0,3000.0,3000.0,2000.0,500.0,500.0,1,2443,1804500,8800.0,62.0,28203.0,2215.0,29.660649819494584,8.602888086642599,10.425992779783394,29.660649819494584,29.660649819494584,15.974729241877256,6.025270758122744,3.55956678700361,15.974729241877256,15.974729241877256,0,0,0,0,0,0,1,1,0,9216.0,1,1,12.0,4.0,11.085714285714285,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4.0,14.863636363636363,3.126126126126126,1,1,0,1,1,0,1,0,1,0,0,1,6.444444444444445,0,5.0,30.0,0,30.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,2000.0,3000.0,5000.0,2000.0,2000.0,500.0,500.0,500.0,500.0,500.0,500.0,0,3181,2175300,7100.0,58.0,327817.0,2423.0,29.660649819494584,8.602888086642599,10.425992779783394,29.660649819494584,29.660649819494584,15.974729241877256,6.025270758122744,3.55956678700361,15.974729241877256,15.974729241877256,0,0,0,0,0,0,0,0,0,262144.0,0,1,9.446952595936795,3.2570754716981134,11.085714285714285,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.748663101604278,14.863636363636363,3.126126126126126,1,1,0,1,0,0,1,1,1,0,1,0,6.444444444444445,0,5.0,52.80523255813954,0,55.49201277955272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
